gene_id,symbol,biotype,logFC,logCPM,F,PValue,FDR,regulation
ENSG00000126603,GLIS2,protein_coding,-1.24548451974386,4.41259594266081,8.45256261970164,0.00941313673713382,0.0225758546785566,Down
ENSG00000168273,SMIM4,protein_coding,-1.24671237289454,4.32339789722259,20.4795291734013,0.00025925403727819,0.00105247302938409,Down
ENSG00000206527,HACD2,protein_coding,-1.24722960426189,5.87448077396718,130.888502454839,1.01356620800493e-09,3.77692084475469e-08,Down
ENSG00000154096,THY1,protein_coding,-1.24816639837483,8.132203359861,35.4059115248312,1.26115860011221e-05,8.22829086658578e-05,Down
ENSG00000067113,PLPP1,protein_coding,-1.24869695271274,5.16662073371713,53.9288387464582,7.83020266058318e-07,8.14558582330111e-06,Down
ENSG00000176697,BDNF,protein_coding,-1.25029389002304,4.50994851545285,176.530421806299,1.33336629342401e-07,1.8595539703181e-06,Down
ENSG00000022267,FHL1,protein_coding,-1.25226603848542,8.34106078604821,93.819151389586,1.37915200750294e-08,2.97690159544582e-07,Down
ENSG00000196700,ZNF512B,protein_coding,-1.25282174735906,4.41603794579459,20.4923611608148,0.000261337377279842,0.00105920830942966,Down
ENSG00000140937,CDH11,protein_coding,-1.25376575408553,7.59047323314315,39.5660473800419,6.32860162777041e-06,4.61550401090559e-05,Down
ENSG00000169169,CPT1C,protein_coding,-1.25799507468344,5.49230313597417,27.6801931104994,5.33690219215481e-05,0.000270140010140486,Down
ENSG00000008256,CYTH3,protein_coding,-1.25853129393359,4.73432055932915,50.6786477893568,1.1976441172098e-06,1.16196301009086e-05,Down
ENSG00000158270,COLEC12,protein_coding,-1.26032914425824,4.39403510643317,9.46903828374415,0.00650968123068939,0.0165402421509872,Down
ENSG00000182541,LIMK2,protein_coding,-1.26063973497677,6.60339313795691,44.7703194410899,2.85185241979786e-06,2.36287329914667e-05,Down
ENSG00000166333,ILK,protein_coding,-1.26456969804217,8.21467414647956,211.899294737145,1.9481275922873e-11,1.87070200849127e-09,Down
ENSG00000083457,ITGAE,protein_coding,-1.26664816733238,5.72713110408754,112.73728177558,3.31382365779859e-09,9.33102977327498e-08,Down
ENSG00000109686,SH3D19,protein_coding,-1.27149115166194,5.48863802733316,129.770425855128,1.08559551830552e-09,3.98583844711195e-08,Down
ENSG00000162076,FLYWCH2,protein_coding,-1.2727842336316,4.41224423397677,11.8441984459371,0.00291948122065985,0.00830178980362273,Down
ENSG00000170390,DCLK2,protein_coding,-1.27692166860825,4.36066146127305,12.5616018551778,0.00232487277814715,0.00684484949226498,Down
ENSG00000124006,OBSL1,protein_coding,-1.27783287417134,6.02068036404035,22.2129988178881,0.000174530726083587,0.00074956143254935,Down
ENSG00000099204,ABLIM1,protein_coding,-1.28055960756132,4.42619981580291,113.475677601396,3.98354440572378e-07,4.66928757415823e-06,Down
ENSG00000159792,PSKH1,protein_coding,-1.28574645967925,4.93080583473246,36.81043892073,9.74740172537598e-06,6.66798273664816e-05,Down
ENSG00000177666,PNPLA2,protein_coding,-1.2868807997326,4.69091385576181,13.1863822691919,0.00191597186622904,0.0057982340517396,Down
ENSG00000168653,NDUFS5,protein_coding,-1.28724538612944,8.58549959118971,101.536232055506,7.50060255397298e-09,1.83593180160973e-07,Down
ENSG00000103257,SLC7A5,protein_coding,-1.287944987732,7.08280887083859,13.832548831925,0.00157571105191515,0.00491139233410089,Down
ENSG00000196924,FLNA,protein_coding,-1.28835630927998,10.3784968459225,15.9999335937127,0.000843504583775892,0.00286653780965582,Down
ENSG00000162337,LRP5,protein_coding,-1.28935394135394,4.65109648282358,10.9274670435752,0.00394225844426171,0.0107333754080408,Down
ENSG00000275832,ARHGAP23,protein_coding,-1.28952491023364,6.162398842743,61.9724199827653,2.96122209711826e-07,3.65396268655943e-06,Down
ENSG00000163378,EOGT,protein_coding,-1.28984874342879,5.03975812256685,73.3570423978357,8.74654663868267e-08,1.29726008561848e-06,Down
